,Company,Company Description,Date Victimised,No of views,Status,Action
0,Van Oirschot,https://www.vanoirschot.be/,30/09/2023,2076,EVIDENCE,Encrypted
1,Hawkins Delafield Wood,https://www.hawkins.com/,03/09/2023,16949,EVIDENCE,Encrypted
2,Radley and Co,https://www.radleylondon.com/,29/08/2023,26442,EVIDENCE,Encrypted
3,SAC Finance,https://www.sacfinance.com/,03/06/2023,33011,EVIDENCE,Leak
4,Low Keng Huat,https://www.lkhs.com.sg/,02/07/2023,40381,EVIDENCE,Encrypted
5,Customer Elation - Business Information,https://www.customerelation.com/,01/06/2023,83491,EVIDENCE,Leak
6,Prada Gayoso,https://www.pradagayoso.com/,08/06/2023,132833,EVIDENCE,Encrypted
7,Roberto Verino Difusion,https://www.robertoverino.com/,04/05/2023,108505,DISCLOSED,Encrypted
8,Wison Engineering,https://www.wison.com/,03/06/2023,86601,DISCLOSED,Encrypted
9,Mission Community Hospital,https://www.mchonline.org/,29/04/2023,148457,EVIDENCE,Encrypted
10,AvidXchange,https://www.avidxchange.com/,16/04/2023,99418,DISCLOSED,Leak
11,100X and ALL Clients,https://www.100x.com/,14/03/2023,155427,DISCLOSED,Leak
12,Albany ENT & Allergy Services,https://www.albanyentandallergy.com/,27/03/2023,102928,DISCLOSED,Encrypted
13,Tranztec Solutions,https://www.tranztec.com/,03/03/2023,132378,DISCLOSED,Encrypted
14,OMT Officine Meccaniche Torino S.p.A.,https://omt-torino.com/,13/03/2023,132491,DISCLOSED,Encrypted
15,Aero Engine Solution INC,https://www.aeroenginesolutions.com,20/03/2023,207320,DISCLOSED,Leak
16,Hospital Clinic de Barcelona,https://www.clinicbarcelona.org/,04/03/2023,162203,DISCLOSED,Encrypted
17,AV Industries,https://www.avindustriesinc.com/,20/03/2023,212437,DISCLOSED,Leak
18,Tanbridge House School,http://www.tanbridge-house-sch.co.uk,10/03/2023,118286,DISCLOSED,Encrypted
19,Cospec Srl,https://www.cospec.it/,10/03/2023,219503,DISCLOSED,Encrypted
20,Comune Taggia,https://www.comune.taggia.im.it/,10/03/2023,220619,DISCLOSED,Encrypted
21,Design CATAPULT,https://www.designcatapult.com/,10/03/2023,221809,DISCLOSED,Encrypted
22,Indonesia Power,https://www.indonesiapower.co.id/,12/02/2023,223645,EVIDENCE,Encrypted
23,Faraday Technology,https://www.faraday-tech.com/,06/10/2022,227386,EVIDENCE,Encrypted
24,St. Kitts & Nevis,https://www.gov.kn,27/01/2023,162260,DISCLOSED,Encrypted
25,Delaware Life Insurance Company,https://www.delawarelife.com/,04/02/2023,128956,DISCLOSED,Encrypted
26,E&S Heating & Ventilation Ltd,https:/www.esgroup.co.uk,30/01/2023,234390,DISCLOSED,Encrypted
27,Audio Video,https://www.audiovideocorp.com/,30/01/2023,234069,DISCLOSED,Encrypted
28,AESCULAPIUS Farmaceutici,https://www.aesculapius.it/,04/02/2023,240861,DISCLOSED,Encrypted
29,Hospital Service SpA,https://www.hshospitalservice.com/,31/12/2022,248394,DISCLOSED,Encrypted
30,Jeffries Morris,https://www.thejeffriescompanies.com/jeffries-morris,20/01/2023,251319,DISCLOSED,Encrypted
31,The DGCX,https://www.dgcx.ae/,13/01/2023,252143,DISCLOSED,Encrypted
32,Holovis,https://www.holovis.com/,24/12/2022,257827,DISCLOSED,Encrypted
33,Trans Maldivian Airways,https://www.transmaldivian.com/,31/12/2022,258509,EVIDENCE,Encrypted
34,IMI Hydronic Engineering,https://www.imi-hydronic.com/,04/12/2022,258575,DISCLOSED,Encrypted
35,Strem Chemicals,https://www.strem.com/,12/12/2022,266611,DISCLOSED,Leak
36,Keralty,https://www.keralty.com/,27/11/2022,267979,SOLD,Encrypted
37,Republic of Vanuatu,https://www.gov.vu/,06/10/2022,265360,EVIDENCE,Encrypted
38,BRYCON Construction,https://www.brycon.com/,06/10/2022,271933,EVIDENCE,Leak
39,SMB Solutions,https://www.smbsolutions.com.au/,06/10/2022,275063,DISCLOSED,Leak
40,Severn Glocon Group,https://www.severnvalve.com/,05/10/2022,279797,DISCLOSED,Encrypted
41,ADATA Technology,http://www.adata.com,*/*/2022,182710,DISCLOSED,Leak
42,Carmen Copper Corporation,https://atlasmining.com.ph/,03/09/2022,282256,DISCLOSED,Encrypted
43,Ipca Laboratories,https://www.ipca.com/,03/09/2022,294743,SOLD,Encrypted
44,8 Italy Districts,,27/07/2022,327654,DISCLOSED,Encrypted
45,Fairfax - Crum & Forster,https://www.cfins.com https://www.fairfax.ca,20/03/2022,349720,DISCLOSED,Encrypted
46,Summit Care,https://www.summitcare.net/,10/06/2022,362343,DISCLOSED,Encrypted
47,"Advanced Micro Devices, Inc",https://www.amd.com/,05/01/2022,378837,SOLD,Leak
48,SHOPRITE HOLDINGS LTD,https://www.shoprite.co.za/,06/06/2022,394149,SOLD,Leak
49,AHS Aviation Handling Services GmbH,https://www.ahs-de.com,16/04/2022,438268,DISCLOSED,Encrypted
50,Dellner Couplers AB,https://www.dellner.com,08/04/2022,437814,SOLD,Encrypted
51,Jefferson Credit Union,https://www.jeffersoncreditunion.org,10/12/2021,436375,DISCLOSED,Encrypted
52,Saskatchewan Liquor and Gaming Authority,https://www.slga.com,20/12/2021,442955,DISCLOSED,Encrypted
