Unnamed: 0.1,Unnamed: 0,Company,Company Description,Date Victimised,No of views,Status,Action,Company Website,Industry,Location,Country,Year_Victimised
0,0,Van Oirschot,https://www.vanoirschot.be/,30/09/2023,2076,EVIDENCE,Encrypted,https://www.vanoirschot.be,Wholesale,"Wijnegem, Antwerpen",België / Belgique / Belgien,2023
1,1,Hawkins Delafield Wood,https://www.hawkins.com/,03/09/2023,16949,EVIDENCE,Encrypted,http://www.hawkins.com,Law Practice,New York,United States,2023
2,2,Radley and Co,https://www.radleylondon.com/,29/08/2023,26442,EVIDENCE,Encrypted,http://www.radleyandco.com,Retail Luxury Goods and Jewelry,London,United Kingdom,2023
3,3,SAC Finance,https://www.sacfinance.com/,03/06/2023,33011,EVIDENCE,Leak,http://sacfinance.com,,"Fort Wayne, Indiana",United States,2023
4,4,Low Keng Huat,https://www.lkhs.com.sg/,02/07/2023,40381,EVIDENCE,Encrypted,http://www.lkhs.com.sg/,Real Estate,,,2023
5,5,Customer Elation - Business Information,https://www.customerelation.com/,01/06/2023,83491,EVIDENCE,Leak,http://www.customerelation.com,Outsourcing and Offshoring Consulting,"Bloomington, MN",United States,2023
6,6,Prada Gayoso,https://www.pradagayoso.com/,08/06/2023,132833,EVIDENCE,Encrypted,http://pradagayoso.com,Legal Services,"Madrid, Madrid",United States,2023
7,7,Roberto Verino Difusion,https://www.robertoverino.com/,04/05/2023,108505,DISCLOSED,Encrypted,http://www.robertoverino.com,Retail Apparel and Fashion,"San Cibrao das Viñas, Ourense",España,2023
8,8,Wison Engineering,https://www.wison.com/,03/06/2023,86601,DISCLOSED,Encrypted,http://www.wison-engineering.com/en,Oil and Gas,Shanghai,中国,2023
9,9,Mission Community Hospital,https://www.mchonline.org/,29/04/2023,148457,EVIDENCE,Encrypted,http://www.mchonline.org,Hospitals and Health Care,"Panorama City, CA",United States,2023
10,10,AvidXchange,https://www.avidxchange.com/,16/04/2023,99418,DISCLOSED,Leak,http://www.avidxchange.com,Software Development,"Charlotte, NC",United States,2023
11,11,100X and ALL Clients,https://www.100x.com/,14/03/2023,155427,DISCLOSED,Leak,,,,,2023
12,12,Albany ENT & Allergy Services,https://www.albanyentandallergy.com/,27/03/2023,102928,DISCLOSED,Encrypted,http://www.albanyentandallergy.com,Medical Practices,"Albany, New York",United States,2023
13,13,Tranztec Solutions,https://www.tranztec.com/,03/03/2023,132378,DISCLOSED,Encrypted,http://www.tranztec.com,IT Services and IT Consulting,"Perrysburg, Ohio",United States,2023
14,14,OMT Officine Meccaniche Torino S.p.A.,https://omt-torino.com/,13/03/2023,132491,DISCLOSED,Encrypted,http://www.omt-torino.com,Machinery Manufacturing,"Cascine Vica Rivoli, TO",Italia,2023
15,15,Aero Engine Solution INC,https://www.aeroenginesolutions.com,20/03/2023,207320,DISCLOSED,Leak,https://www.aeroenginesolutions.com/,Aviation & Aerospace,"Port St Lucie, Florida",United States,2023
16,16,Hospital Clinic de Barcelona,https://www.clinicbarcelona.org/,04/03/2023,162203,DISCLOSED,Encrypted,http://www.hospitalclinic.org,Hospitals and Health Care,"Barcelona, Barcelona",España,2023
17,17,AV Industries,https://www.avindustriesinc.com/,20/03/2023,212437,DISCLOSED,Leak,http://www.avindustries.net.in/,Industrial Machinery Manufacturing,"Signal Hill, California",United States,2023
18,18,Tanbridge House School,http://www.tanbridge-house-sch.co.uk,10/03/2023,118286,DISCLOSED,Encrypted,http://www.tanbridge-house-sch.co.uk,Primary and Secondary Education,"Horsham, West Sussex",United Kingdom,2023
19,19,Cospec Srl,https://www.cospec.it/,10/03/2023,219503,DISCLOSED,Encrypted,,,,,2023
20,20,Comune Taggia,https://www.comune.taggia.im.it/,10/03/2023,220619,DISCLOSED,Encrypted,,,,,2023
21,21,Design CATAPULT,https://www.designcatapult.com/,10/03/2023,221809,DISCLOSED,Encrypted,http://www.designcatapult.com,Design,"Fountain Valley, California",United States,2023
22,22,Indonesia Power,https://www.indonesiapower.co.id/,12/02/2023,223645,EVIDENCE,Encrypted,https://www.plnindonesiapower.co.id/,Electric Power Generation,"South Jakarta, DKI Jakarta",Indonesia,2023
24,24,St. Kitts & Nevis,https://www.gov.kn,27/01/2023,162260,DISCLOSED,Encrypted,http://www.stkittsnevislawyer.com/,Legal Services,Basseterre,Saint Kitts and Nevis,2023
25,25,Delaware Life Insurance Company,https://www.delawarelife.com/,04/02/2023,128956,DISCLOSED,Encrypted,http://www.delawarelife.com,Insurance,"Waltham, MA",United States,2023
26,26,E&S Heating & Ventilation Ltd,https:/www.esgroup.co.uk,30/01/2023,234390,DISCLOSED,Encrypted,http://www.esgroup.co.uk,Construction,"Hailsham, East Sussex",United Kingdom,2023
27,27,Audio Video,https://www.audiovideocorp.com/,30/01/2023,234069,DISCLOSED,Encrypted,,Consumer Electronics,,,2023
28,28,AESCULAPIUS Farmaceutici,https://www.aesculapius.it/,04/02/2023,240861,DISCLOSED,Encrypted,https://www.aesculapius.it,Pharmaceutical Manufacturing,"Brescia, Lombardia",Italia,2023
30,30,Jeffries Morris,https://www.thejeffriescompanies.com/jeffries-morris,20/01/2023,251319,DISCLOSED,Encrypted,http://www.29broadway.com,Construction,"New York, New York",United States,2023
31,31,The DGCX,https://www.dgcx.ae/,13/01/2023,252143,DISCLOSED,Encrypted,https://www.dgcx.ae,Financial Services,Dubai,الإمارات العربية المتحدة,2023
